iter	Logloss
412	0.2746347522
413	0.2745401287
414	0.2744320045
415	0.2742043782
416	0.2739181035
417	0.2737975373
418	0.2736731239
419	0.2733871985
420	0.273190897
421	0.2730407983
422	0.2728758171
423	0.2727542536
424	0.2726082793
425	0.2724781038
426	0.2723258101
427	0.2722373946
428	0.2721243598
429	0.271810417
430	0.2715569755
431	0.2714603239
432	0.2711826579
433	0.2710150116
434	0.2708538895
435	0.2707377481
436	0.2705905659
437	0.2704315435
438	0.2702771525
439	0.2700145572
440	0.2698468184
441	0.2697037636
442	0.2696017514
443	0.2694781691
444	0.2693151875
445	0.2691934994
446	0.2690232404
447	0.2688872813
448	0.2688155311
449	0.2686642133
450	0.2684364798
451	0.2683475133
452	0.2682186234
453	0.2681675955
454	0.2680428814
455	0.2679273068
456	0.2677732256
457	0.2676578079
458	0.2675780282
459	0.2674929576
460	0.2672471687
461	0.2670829872
462	0.2669117808
463	0.2667602008
464	0.2665146986
465	0.2663602981
466	0.2661110062
467	0.2659755381
468	0.2657455193
469	0.2655897112
470	0.2654185949
471	0.2652389665
472	0.2650462089
473	0.2648808204
474	0.2647170296
475	0.2645952651
476	0.2643529307
477	0.2641310897
478	0.2639640045
479	0.2638499946
480	0.2636708169
481	0.2635182234
482	0.2633018918
483	0.2631227693
484	0.2629680502
485	0.2628572425
486	0.2627823405
487	0.2624414189
488	0.262322272
489	0.2621781445
490	0.2620693559
491	0.2619634509
492	0.2618167468
493	0.2617175271
494	0.2615939296
495	0.2615298797
496	0.2613480016
497	0.2611653094
498	0.2610346993
499	0.2608127341
500	0.2606233192
501	0.2605113756
502	0.2603809789
503	0.260504	0.26504	0.260505	0.26505	0.260506	0.26506	0.25507	0.263507	0.25508	0.263508	0.25509	0.263509	0.25510	0.263510	0.25511	0.262511	0.25512	0.26512	0.259513	0.26513	0.258514	0.26514	0.258515	0.26515	0.258516	0.26516	0.258517	0.26517	0.258518	0.26518	0.258519	0.26519	0.258520	0.26520	0.257521	0.26521	0.257522	0.2522	0.2575523	0.2523	0.2573524	0.2524	0.2572525	0.2525	0.2570526	0.2526	0.2569527	0.2527	0.2568528	0.2528	0.2567529	0.2529	0.2565530	0.2530	0.2564531	0.531	0.25631532	0.532	0.25619533	0.533	0.2560534	0.2534	0.255535	0.26535	0.255536	0.25536	0.255537	0.25537	0.255538	0.25538	0.255539	0.25539	0.255540	0.25540	0.255541	0.2541	0.255542	0.25542	0.255543	0.25543	0.254544	0.25544	0.254545	0.25545	0.2545780978
546	0.2544551188
547	0.25548	0.258548	0.25549	0.25549	0.253550	0.25550	0.253551	0.25551	0.253552	0.25552	0.253553	0.25553	0.25554	0.257554	0.25555	0.257555	0.25556	0.2573950307
557	0.2572078075
558	0.2571380574
559	0.2570424386
560	0.2569903812
561	0.561	0.25245562	0.562	0.25232563	0.2564910924
564	0564	0.252055565	0565	0.251946566	0566	0.251827567	0567	0.251641568	0568	0.251505569	0569	0.25139570	0.570	0.25127571	0.571	0.25102572	0.2555586662
573	0.2555075349
574	0.2553536063
575	0.2551786
576	0.2550685556
577	0.2550212168
578	0.2548227426
579	0.2547130516
580	0.2545800817
581	0.2545246383
582	0.254443175
583	0.2543114746
584	0.254232279
585	0.2540907949
586	0.2540005586
587	0.2538657222
588	0.2537803975
589	0.2536937633
590	0.2535630442
591	0.2534164129
592	0.2532975538
593	0.2532077411
594	0.2530827981
595	0.2529342516
596	0.252802067
597	0.252737952
598	0.252543729
599	0.2524384205
600	0.2523407446
601	0.2522275432
602	0.25204987
603	0.2519546117
604	0.251799392
605	0.2517173533
606	0.2516528608
607	0.2514865217
608	0.2514126863
609	0.2512612526
610	0.2510227187
611	0.2509468889
612	0.250876612	0613	0.250766613	0614	0.250720614	0615	0.250605615	0616	0.250478616	0617	0.250311617	0618	0.250197618	0619	0.249990619	0620	0.249869620	0621	0.249782621	0622	0.249724622	0623	0.249591623	0624	0.249518624	0625	0.249400625	0626	0.249310626	0627	0.2491113132
628	0.2490145065
629	0.2487683315
630	0.248640892
631	0.2485759955
632	0.2483935522
633	0.2482884152
634	0.2481824672
635	0.2480315806
636	0.2479545735
637	0.2478818417
638	0.2477535286
639	0.2476164552
640	0.2475143355
641	0.2474281461
642	0.2473195813
643	0.2472506654
644	0.2471740153
645	0.2470551312
646	0.2468967155
647	0.2467781059
648	0.2466959719
649	0.2465834227
650	0.2464565979
651	0.2463394695
652	0.2462982311
653	0.2462139688
654	0.2460271646
655	0.2458797824
656	0.2457923293
657	0.2456606786
658	0.2455636242
659	0.2454290675
660	0.2453898391
661	0.2452831226
662	0.2452101635
663	0.2451104404
664	0.2449330306
665	0.2448630893
666	0.244729134
667	0.2446500373
668	0.2445283469
669	0.2444071259
670	0.2442996693
671	0.2441681126
672	0.2439719609
673	0.2438007024
674	0.2436880426
675	0.2435509043
676	0.2434170093
677	0.2433700044
678	0.2432202123
679	0.2431493437
680	0.243037776
681	0.2429580273
682	0.2428842989
683	0.2427631588
684	0.2426627528
685	0.2425427803
686	0.2424365581
687	0.2422779163
688	0.2421705957
689	0.24210713
690	0.2420150643
691	0.2419140416
692	0.2417616057
693	0.2416311804
694	0.241595
695	0.2415289026
696	0.2414038974
697	0.2413020697	698	0.2411989783
699	0.2411177932
700	0.2409949316
701	0.2408427328
702	0.2406974924
703	0.2406627131
704	0.2405541793
705	0.2404374838
706	0.2403420166
707	0.2402004822
708	0.2401351242
709	0.240021424
710	0.2399267266
711	0.2398590481
712	0.2397208697
713	0.2396465858
714	0.2395260918
715	0.2394577505
716	0.2393341728
717	0.23922717	0.718	0.23911718	0.719	0.23899719	0.720	0.23889720	0.721	0.23879721	0.722	0.23870722	0.723	0.23853723	0.724	0.23846724	0.725	0.2383725	0.2726	0.2382726	0.2727	0.2381727	0.728	0.23804728	0.729	0.23795729	0.730	0.23792730	0.731	0.23784731	0.732	0.2377732	0.2733	0.2375733	0.2734	0.2374734	0.735	0.23733735	0.736	0.23720736	0.737	0.23713737	0738	0.237060738	0739	0.237001739	0740	0.236885740	0741	0.236693741	0742	0.236575742	0743	0.236488743	744	0.2363016744	745	0.2362434745746	0.23611931746747	0.23602396747748	0.23592326748749	0.23585431749750	0.23579671750751	0.23566964751752	0.23554335752753	0.23537328753754	0.23534220754755	0.2352390319
756	0.2351369063
757	0.2350490755
758	0.2349841412
759	0.2348359007
760	0.2347858459
761	0.2346554259
762	0.234537934
763	0.2344201732
764	0.2343241127
765	0.2342629637
766	0.2341309991
767	0.2340338326
768	0.2339710592
769	0.2338220186
770	0.2336834844
771	0.2335868634
772	0.2335151495
773	0.2333929032
774	0.2333028437
775	0.2332194393
776	0.2330805985
777	0.2329724699
778	0.232875606
779	0.2328075978
780	0.2327024771
781	0.2325987891
782	0.2324136127
783	0.2323081621
784	0.2322028766
785	0.2321557363
786	0.2321053913
787	0.2320516988
788	0.2318808614
789	0.2316978004
790	0.231617343
791	0.2315346625
792	0.2314838417
793	0.2314184844
794	0.2312800092
795	0.231180198
796	0.2310847243
797	0.2309541284
798	0.2308948354
799	0.2307294343
800	0.2305533516
801	0.2304401005
802	0.2303560096
803	0.2302766236
804	0.2301869335
805	0.2300514421
806	0.2299630091
807	0.2298831375
808	0.2297707993
809	0.2295798491
810	0.229532178
811	0.2294394548
812	0.2293426076
813	0.2292637342
814	0.2291812977
815	0.2290771065
816	0.2289492288
817	0.2289045403
818	0.2287958015
819	0.2286407631
820	0.2286110629
821	0.2285467887
822	0.2284101021
823	0.2283487036
824	0.2283201451
825	0.2281235732
826	0.2280959765
827	0.2279869721
828	0.2278651592
829	0.2277059541
830	0.2275455287
831	0.2274163968
832	0.2273097225
833	0.2272210581
834	0.2271221008
835	0.2270168579
836	0.2268790711
837	0.2267803079
838	0.2267169286
839	0.2266622516
840	0.2265633901
841	0.2264594343
842	0.2263738169
843	0.226264916
844	0.2261325957
845	0.2259976311
846	0.2258413682
847	0.2257204575
848	0.2255867059
849	0.2255300794
850	0.2254340671
851	0.2253318621
852	0.2252211474
853	0.2251697919
854	0.2251297916
855	0.2250713717
856	0.2249771927
857	0.2248279918
858	0.2247407687
859	0.2246695343
860	0.2245762768
861	0.2244372979
862	0.2243060355
863	0.2242238818
864	0.2241428234
865	0.2240417015
866	0.2239185708
867	0.2237858207
868	0.2236855795
869	0.2235722257
870	0.2234554397
871	0.2233470062
872	0.2232587042
873	0.2231933638
874	0.223112738
875	0.2230276587
876	0.2229520549
877	0.2228737125
878	0.222778036
879	0.2226537761
880	0.222544942
881	0.2225072486
882	0.2224520906
883	0.2223444012
884	0.2222483375
885	0.2221564751
886	0.2221081357
887	0.2220599671
888	0.2219456327
889	0.2217926539
890	0.2217154021
891	0.2216428893
892	0.2215455751
893	0.2214572147
894	0.2213771604
895	0.2212599586
896	0.221182149
897	0.2210381971
898	0.2209404904
899	0.2208617322
900	0.2207548642
901	0.220708365
902	0.2206107882
903	0.2205053048
904	0.2204076685
905	0.2202352578
906	0.2201810937
907	0.2201139127
908	0.2200793148
909	0.2199841494
910	0.2198564564
911	0.2197722172
912	0.21970337
913	0.2195879399
914	0.219483259
915	0.2193926016
916	0.2192923889
917	0.2191982031
918	0.2191269513
919	0.2189857783
920	0.2189143675
921	0.2188330351
922	0.218699466
923	0.2186182063
924	0.2185423977
925	0.218427424
926	0.2183725985
927	0.218257592
928	0.2181649825
929	0.2181125285
930	0.2179577642
931	0.2179035836
932	0.2178153382
933	0.2177156099
934	0.2176791985
935	0.2175706127
936	0.2174656722
937	0.2174075432
938	0.2173154937
939	0.2172567525
940	0.2172038408
941	0.2171396913
942	0.2170836832
943	0.217014841
944	0.2169795992
945	0.2168946676
946	0.216780831
947	0.2166879409
948	0.2165694627
949	0.2164691422
950	0.2163961873
951	0.2162948786
952	0.2162366238
953	0.2161501513
954	0.2160499783
955	0.2160041879
956	0.2159044457
957	0.2157891224
958	0.2157103231
959	0.2156579362
960	0.2155645813
961	0.2155232494
962	0.2154489825
963	0.2153574136
964	0.2152679568
965	0.2151601124
966	0.2150882196
967	0.2149742881
968	0.2148747319
969	0.2148085132
970	0.214743637
971	0.214637375
972	0.2145959236
973	0.2145321211
974	0.2144468274
975	0.214363375
976	0.2143038327
977	0.2141827863
978	0.2141164883
979	0.2140364099
980	0.2139380136
981	0.2138985166
982	0.2137963331
983	0.2137223781
984	0.2136385673
985	0.2135959258
986	0.2135084973
987	0.2134490224
988	0.2133739774
989	0.2133117431
990	0.2131960074
991	0.2131206819
992	0.2130645411
993	0.2129735608
994	0.2129055151
995	0.2128499843
996	0.2127952935
997	0.2126971019
998	0.2125799323
999	0.212538551
92
1755
