Threshold,Precision,Recall,F1
0.6199999999999998,0.5925925925925926,0.6844919786096256,0.6352357320099256
0.6599999999999997,0.625974025974026,0.6443850267379679,0.6350461133069829
0.6499999999999997,0.6161616161616161,0.6524064171122995,0.6337662337662338
0.5999999999999998,0.5783664459161147,0.7005347593582888,0.6336154776299879
0.6099999999999998,0.5820224719101124,0.6925133689839572,0.6324786324786325
0.6299999999999997,0.5976190476190476,0.6711229946524064,0.6322418136020151
0.5899999999999997,0.5698924731182796,0.7085561497326203,0.6317044100119189
0.6399999999999997,0.6039119804400978,0.660427807486631,0.6309067688378033
0.6699999999999997,0.633423180592992,0.6283422459893048,0.6308724832214765
0.5499999999999998,0.5476190476190477,0.7379679144385026,0.6287015945330297
0.6799999999999997,0.6424581005586593,0.6149732620320856,0.6284153005464481
0.5099999999999998,0.5304990757855823,0.767379679144385,0.6273224043715847
0.5299999999999998,0.5372848948374761,0.7513368983957219,0.6265328874024526
0.4999999999999998,0.5264116575591985,0.7727272727272727,0.6262188515709642
0.5199999999999998,0.5318352059925093,0.7593582887700535,0.6255506607929515
0.5399999999999998,0.5398058252427185,0.7433155080213903,0.625421822272216
0.5699999999999997,0.5523613963039015,0.7192513368983957,0.6248548199767712
0.5599999999999997,0.5472837022132797,0.7272727272727273,0.6245694603903559
0.46999999999999986,0.5102040816326531,0.8021390374331551,0.6237006237006237
0.47999999999999976,0.5129533678756477,0.7941176470588235,0.6232948583420777
0.5799999999999997,0.5555555555555556,0.7085561497326203,0.6227967097532315
0.48999999999999977,0.5149384885764499,0.7834224598930482,0.6214209968186638
0.6899999999999997,0.6463768115942029,0.5962566844919787,0.6203059805285118
0.45999999999999985,0.502495840266223,0.8074866310160428,0.6194871794871795
0.44999999999999984,0.49754500818330605,0.8128342245989305,0.617258883248731
0.43999999999999984,0.49198717948717946,0.820855614973262,0.6152304609218436
0.4299999999999998,0.4881516587677725,0.8262032085561497,0.6137040714995035
0.6999999999999996,0.6504559270516718,0.5721925133689839,0.6088193456614509
0.4199999999999998,0.47919876733436056,0.8315508021390374,0.6080156402737048
0.7099999999999996,0.6613418530351438,0.553475935828877,0.6026200873362445
0.4099999999999998,0.4693572496263079,0.839572192513369,0.6021093000958773
0.7199999999999996,0.6722408026755853,0.5374331550802139,0.5973254086181278
0.3599999999999999,0.4494535519125683,0.8796791443850267,0.5949367088607594
0.3999999999999998,0.4578488372093023,0.8422459893048129,0.5932203389830508
0.3899999999999999,0.452991452991453,0.8502673796791443,0.5910780669144982
0.34999999999999987,0.44414535666218036,0.8823529411764706,0.5908683974932856
0.3799999999999999,0.44929577464788734,0.8529411764705882,0.5885608856088561
0.3699999999999999,0.44707520891364905,0.8582887700534759,0.5879120879120879
0.33999999999999986,0.4381578947368421,0.8903743315508021,0.5873015873015873
0.7299999999999996,0.6784452296819788,0.5133689839572193,0.5844748858447488
0.32999999999999985,0.4309677419354839,0.893048128342246,0.5813751087902524
0.7399999999999997,0.6940298507462687,0.49732620320855614,0.5794392523364486
0.3199999999999999,0.42656449553001274,0.893048128342246,0.5773552290406223
0.30999999999999994,0.42191435768261965,0.8957219251336899,0.5736301369863014
0.29999999999999993,0.4158415841584158,0.8983957219251337,0.5685279187817259
0.2899999999999999,0.414004914004914,0.9010695187165776,0.5673400673400674
0.7499999999999997,0.7023809523809523,0.4732620320855615,0.5654952076677316
0.7599999999999997,0.7238493723849372,0.4625668449197861,0.564437194127243
0.2599999999999999,0.40710059171597635,0.9197860962566845,0.5643970467596391
0.2699999999999999,0.40762812872467225,0.9144385026737968,0.5638911788953009
0.2799999999999999,0.40843373493975904,0.9064171122994652,0.5631229235880398
0.24999999999999992,0.4020979020979021,0.9224598930481284,0.560064935064935
0.23999999999999994,0.3995381062355658,0.9251336898395722,0.5580645161290323
0.22999999999999995,0.39346110484780156,0.9331550802139037,0.5535289452815226
0.21999999999999995,0.39106145251396646,0.9358288770053476,0.5516154452324665
0.7699999999999997,0.7248908296943232,0.44385026737967914,0.5505804311774462
0.20999999999999996,0.38588754134509373,0.9358288770053476,0.546448087431694
0.19999999999999996,0.38453159041394336,0.9438502673796791,0.5464396284829721
0.18999999999999995,0.3786096256684492,0.946524064171123,0.5408708938120703
0.17999999999999997,0.37473684210526315,0.9518716577540107,0.5377643504531722
0.7799999999999997,0.7348837209302326,0.42245989304812837,0.5365025466893039
0.16999999999999998,0.37163561076604557,0.9598930481283422,0.5358208955223881
0.15999999999999998,0.36809815950920244,0.9625668449197861,0.5325443786982249
0.14999999999999997,0.3641851106639839,0.9679144385026738,0.5292397660818714
0.13999999999999999,0.35693215339233036,0.9705882352941176,0.5219266714593818
0.13,0.35106382978723405,0.9705882352941176,0.515625
0.12,0.3434247871333964,0.9705882352941176,0.5073375262054507
0.11,0.33955223880597013,0.9732620320855615,0.5034578146611342
0.7899999999999996,0.7208121827411168,0.37967914438502676,0.4973730297723292
0.1,0.3327272727272727,0.9786096256684492,0.4966078697421981
0.7999999999999996,0.723404255319149,0.36363636363636365,0.48398576512455516
0.8099999999999996,0.7218934911242604,0.32620320855614976,0.44935543278084716
0.8199999999999996,0.7295597484276729,0.31016042780748665,0.4352720450281426
0.8299999999999996,0.7194244604316546,0.26737967914438504,0.3898635477582846
0.8399999999999996,0.7317073170731707,0.24064171122994651,0.36217303822937624
0.8499999999999996,0.7339449541284404,0.21390374331550802,0.33126293995859213
0.8599999999999995,0.7731958762886598,0.20053475935828877,0.3184713375796178
0.8699999999999996,0.7931034482758621,0.18449197860962566,0.2993492407809111
0.8799999999999996,0.7866666666666666,0.15775401069518716,0.26280623608017817
0.8899999999999996,0.7894736842105263,0.12032085561497326,0.2088167053364269
