,precision,recall,f1-score,support
0,0.8790406673618353,0.8144927536231884,0.8455366098294884,1035.0
1,0.5733333333333334,0.6898395721925134,0.6262135922330098,374.0
accuracy,0.7814052519517388,0.7814052519517388,0.7814052519517388,0.7814052519517388
macro avg,0.7261870003475843,0.7521661629078509,0.7358751010312491,1409.0
weighted avg,0.7978947887765552,0.7814052519517388,0.7873202801055119,1409.0
